我的,my
例子，实例,example
十,ten
十一,eleven
十二,twelve
十三,thirteen
十四,fourteen
十五,fifteen
十六,sixteen
十七,seventeen
十八,eighteen
十九,nineteen
二十,twenty
三十,thirty
衣服服装（复数）,clothes
商店,store
来，来到,come
购买,buy
非常，很,very
价格,price
每个,each
任何人,anybody
负担得起,afford
我们的,our
看见,see
你自己（反身代词）,yourself
先生,Mr.
卖，销售,sell
从…起,from
看一看，看一眼,have a look
廉价出售,on sale
"抱歉的,遗憾的",sorry
什么时候,when
生日,birthday
月份,month
一月,January
二月,February
三月,March
四月,April
五月,May
六月,June
七月,July
八月,August
九月,September
十月,October
十一月,November
十二月,December
第十,tenth
第四,fourth
第十五,fifteenth
第二,second
第三,third
第五,fifth
第六,sixth
第七,seventh
第八,eighth
第九,ninth
第十一,eleventh
第十四,fourteenth
第十六,sixteenth
第十七,seventeenth
第十八,eighteenth
第十九,nineteenth
第二十,twentieth
第三十,thirtieth
日期,date
愉快的，高兴的,happy
生日快乐,Happy Birthday
出生，出世,birth
年龄，年纪,age
年老的,old
多大年纪,how old
演说，演讲,speech
竞争,comptest
聚会,party
旅途，观光旅行,trip
篮球赛,basketball game
排球赛,volleyball game
学校庆祝日,School Day
艺术,art
节，节日,festival
中文,Chinese
音乐,music
年,year
岁,year（s） old
去,go
电影,movie
去看电影,go to a movie
动作片,action movie
喜剧,comedy
纪录片,documentary
恐怖电影,thriller
种类,kind
单数,singular
复数,plural
歌剧,opera
京剧,Beijing Opera
寻找，查找,find
某人,someone
……的人,who
学生,student
可怕的,scary
有趣的,funny
悲哀的，悲伤的,sad
令人激动的,exciting
事实上，真正的,really
常常，时常,often
认为,think
学习，学会,learn
关于,about
历史,history
与…在一起,with
最喜爱的,favorite
演员,actor
新的,new
成功的,successful
周末,weekend
也，又，太,too
吉他,guitar
参加，加入,join
跳舞，舞蹈,dance
游泳,swim
唱，唱歌,sing
国际象棋,chess
画画,paint
说，说话,speak
can not,can't
小孩，年轻人,kid
我们的,our
鼓,drum
钢琴,piano
喇叭,trumpet
小提琴,violin
或者,or
音乐家,musician
那时，然后,then
是（表示存在）,be
摇滚乐,rock
乐队,band
"演出,表演",show
星期天,Sunday
下午,P.M.（pm）
中国功夫,Kungfu
可以，能,may
画,draw
少许，少量,little
少许，少量,a little
电子邮件,e-mail
通讯处，地址,address
为什么,why
时间,time
几点，什么时候,what time
去上学,go to school
起床,get up
淋浴器,shower
淋浴，洗澡,take a shower
通常,usually
……点钟,o'clock
工作,work
小时,hour
刷,brush
牙齿（复）,teeth
在……后,after
去上班,go to work
到达,get to
公共汽车,bus
旅馆,hotel
全部，全体,all
夜间,night
爱，喜欢,love
听,listen
家,home
早晨,morning
上床睡觉,go to bed
工作,job
上午,am
下午,aftenoon
晚上,evening
作业,homework
做作业,do homework
回家,go home
信,letter
大约,around
开始，开发,start
书写,write
告诉,tell
我,me
不久,soon
最好的,best
希望，祝愿,wish
星期六,Saturday
调查，考察,survey
学科，科目,Subject
科学,science
体育,P.E.（physical education）
因为,because
描述,description
字，词，话,word
教师,teacher
谁,who
夫人，太太,Mrs.
伙伴，合作者,partner
城市,city
爸爸,dad
星期二,Tuesday
星期三,Wednesday
星期四,Thursday
星期五,Friday
星期一,Monday
生物学,biology
忙的,busy
然后，接下来,next
严格的，严厉的,strict
疲倦的,tired
小姐,Miss
询问,ask
任何一个,any
狗,dog
在附近，到处,around
美国，美洲,America
因而，所以，那么,so
中国,China
在……之前,before
业余爱好,hobby
今天，今日,today
生活,life
好朋友；伙伴,pal
笔友,pen pal
加拿大,Canada
法国,France
日本,Japan
美国,the United States
澳洲,Australia
新加坡,Singapore
英国,The United Kingdom
国家,country
悉尼,Sydney
纽约,New York
巴黎,Paris
多伦多,Toronto
东京,Tokyo
居住,live
语言,language
日语；日本人,Japanese
世界,world
法国人；法语,French
爱好,like
讨厌；不喜欢,dislike
邮件；邮递,post
办公室,office
邮局,post office
图书馆,library
餐馆；饭店,restaurant
银行,bank
超级市场,supermarket
街；街道,ST.（street）
付钱；支付,pay
投币式公用电话,pay phone
公园,park
大街；林荫道,ave（avenue）
中央；中心,center
桥,bridge
邮件,mail
在那里,there
在……附近,near
横过；在对面,across
在……对面,across from
靠近……的旁边；贴近,next
靠近……的旁边；贴近；最近于,next to
介于（两者或多者）之间,between
前面；前边,front
在……前面,in front of
在……后面,behind
街区；附近；附近地区,neighborhood
直接的；就；仅仅；只,just
径直得,straight
转弯；转变方向,turn
向左,left
向下,down
向右,right
在右边,on the right
开着的；营业中的,open
市场；市集,market
清洁的；干净的,clean
肮脏的,dirty
宁静的,quiet
房子；住宅,house
欢迎,welcome
花园；菜园,garden
区域；地区,district
享受……乐趣；欣赏,enjoy
散步；步行,walk
散步,take a walk
穿过；通过,through
开始,beginning
旅行；游览,tour
参观；游览,visit
地方；地点,place
愉快；开心,fun
玩得开心,have fun
如果（表条件）,if
饥饿的,hungry
到达,arrive
路；路线；路途,way
乘；坐；搭（车；船）,take 
出租车；的士；计程车,taxi
飞机场,airport
通过,pass
希望；盼望；期待,hope
您的；你的,yours
考拉；树袋熊,koala
老虎；虎,tiger
大象,elephant
海豚,dolphin
熊猫,panda
狮子,lion
企鹅,penguin
长颈鹿,giraffe
动物园,zoo
可爱的；聪明的,cute
地图；图,map
聪明的；漂亮的,smart
动物,animal
方框；盒子；箱,box
有几分,kind of
南；南方,south
非洲,africa
宾戈,bingo
丑陋的；难看的,ugly
聪明的；机灵的,clever
友好的,friendly
美丽的；美好的,beautiful
害羞的；羞涩的,shy
其他的；另外的,other
草,grass
睡；睡觉,sleep
在…期间,during
在晚上,at night
叶子；树叶,leaf
懒惰的；懒散的,lazy
肉；肉类（食用）,meat
放松；休息,relax
商店；店铺,shop
助手；助理,assistant
店员,shop assistant
医生,doctor
记者；通讯员,reporter
男警察,policeman
侍者；服务员,waiter
银行职员,bank clerk
医院,hospital
现在；此时,now
担任主角；主演,star
女警察,policewoman
护士,nurse
钱；金钱；货币,money
给；给与,give
获得；得到；购买；拿来,get
穿；戴,wear
制服,uniform
不时；有时,sometimes
在……期间,in
危险的,dangerous
小偷；贼,thief
玩；晚于通常时间,late
在外；向外,out
谈话；谈论,talk
车站；局；台,station
电视台,TV station
警方；警察,police
警察局,police station
报纸,newspaper
辛苦地；努力地,hard
作为,as
按照；根据,at
夏季；夏天,summer
故事；事迹；小说,story
杂志；期刊,magazine
年轻的；年级小的,young
剧；剧本,play
新闻；消息,news
孩子们,children
国际的,international
教；讲授,teach
技巧；技能,skill
先生；阁下,sir
女士；夫人,madam
打扫；清除,clean
读；阅读,read
通过；以……方式,on
公寓；住宅,apartment
电视节目,TV show
当然；的确,sure
等待；等候,wait
等待；等候,wait for
玩具,toy
西；西方；西方的；在西方的；,west
活动,activity
买东西；购物,shop
购物商场；商业街,mall
水塘；水池,pool
照相机,camera
鸟,bird
下雨,rain
有风的；多风的,windy
多云的；阴天的,cloudy
晴朗的,sunny
下雪,snow
天气；气候,weather
莫斯科,Moscow
波士顿,Boston
烹调；煮,cook
学习,study
how's,how is
坏的；劣质的,bad
很糟的；极坏的；可怕的,terrible
相当；很；颇,pretty
炎热的；热的,hot
寒冷的；冷的,cold
凉爽的,cool
温暖的；湿润的,humid
假期；休假,vacation
在度假；在假期中,on vacation
拍照,take a photo
平卧；躺,lie
海滩,beach
看；朝……看,look at
团体；组,group
（口）令人满意的；绝妙的,cool
感到惊讶的,surprised
热；热度,heat
放松的；得到休息的,relaxed
冬季,winter
围巾,scarf
每个人,everyone
玩得高兴；过得快乐,have a good time
男人；人；人类,man
描述；形容,describe
寻找；寻求,look for
谈论；讨论；议论,talk about
方向,direction
单元,unit
最（many和much的最高级）,most
下列的；下述的,following
为了,in order to
改进；改善,improve
头发；毛发,hair
卷曲的；卷毛的,curly
直的；笔直的,straight
高的,tall
中等的,medium
高度,height
瘦的,thin
重的,heavy
体格；体型,build
像；如同,like
总是；始终,always
队长；首领,captain
队；组,team
受欢迎的；通俗的；流行的,popular
金色的,blonde
漂亮的,good-looking
一点儿；少许,bit
一点儿；少许,a little bit
玩笑；笑话,joke
从不；决不,never
停止；终止,stop
棕色的；褐色的,brown
人；人物,person
胡须,beard
眼镜,glasses
外表；外貌,look
牢记；记住,remember
流行音乐（或歌曲）,pop
歌唱家；歌手,singer
不再……,not …… any more
说；讲,say
没有人；没人,nobody
小矮人,Teeny
巨人,Hugeman
梦想家,Dreamer
智者,Wiseman
表示意愿,would
I’d,I would
面条,noodle
牛肉,beef
羊肉,mutton
洋白菜；卷心菜,cabbage
土豆；马铃薯,potato
特色菜,special
饮料,drink
大的；宽广的,large
大小；尺寸,size
碗；一碗的容量,bowl
he'd,he would
果汁；果汁饮料,juice
饺子,dumpling
粥；糊,porridge
茶；茶叶,tea
绿茶,green tea
米；稻；米饭,rice
汤；羹,soup
洋葱,onion
鱼；鱼肉,fish
电话,Tel（Telephone）
星期一,Mon.
星期二,Tues.
星期三,Wed.
星期四,Thurs.
星期五,Fri.
原因，理由,reason
菜单,menu
is的过去式,was
do的过去式,did
go的过去式,went
拜托；访问,visit
考试；测试,test
……怎么样？,What about……？
停留；留下,stay
在家,at home
做;进行；从事,have
阅读,do some reading
练习；实践,practice
正常的，规则的，有规律的,regular
动词,verb
不规则的,irregular
现在时态的;现在的；目前的,present
过去时态的；以前的；过去的,past
山；山脉,mountain
地理学,geography
度过；花费,spend
昨天,yesterday
编号;号,No.
中间的；中等的,middle
中学,middle school
大多数的,most
购物,shopping
have的过去式,had
see的过去式,saw
访谈节目；谈话；交谈；演讲,talk
访谈节目,talk show
write的过去式,wrote
歌；歌曲,song
去散步,go for a walk
坐；使坐下,sit
sit的过去式,sat
向下；在下面；下去；降低,down
猫,cat
该是……的时候了,It's time to……
was not,wasn't
没有,No
任何事；无任何事,anything
建议；意见,suggestion
纽约市,New York City
野营；营地,camp
夏令营,summer camp
博物馆,museum
向导,guide
中心的,central
didn't,did not
考试；检查,exam
真的；是吗？真是的？,really
are的过去式,were
极好的,fantastic
不友善的；不友好的,unfriendly
极坏的；极讨厌的,awful
美味的,delicious
昂贵的,expensive
拥挤的,crowded
廉价的；便宜的,cheap
思考；考虑,think of
水,water
流泪；哭泣,cry
角落；街角；墙角,corner
使；促使；迫使,make
make的过去式,made
感到；觉得,feel
走；步行；散步,walk
回原处；往回走,back
决定；下决心,decide
墙壁；围墙；城墙,wall
万里长城,The Great Wall
宫殿,palace
故宫,The Palace Museum
广场,square
天安门广场,Tian’an Men Square
胡同,Hutong
写；制定；做,make
同班同学,classmate
讨论；汇报,discuss
报告；汇报,report
性别,sex
肥皂,soap
肥皂剧,soap opera
情景喜剧,sitcom（situation comedy）
情景；形势,situation
没有什么；没有东西,nothing
哈（表示惊讶，欢乐，胜利等）,ha
忍受,stand
介意,mind
君主；国王,king
……怎么样？,How about
事实；实际情况,fact
实际上；事实上,in fact
文化,culture
主持人,host
同意；赞同,agree
赞同；持相同意见,agree with
太阳镜,sunglasses
皮带,belt
钱包,wallet
钥匙链,key ring
由；被,by
时尚；潮流,fashion
say的过去式,said
文章,article
放；摆；装,put
主意；想法,idea
色彩鲜艳的,colorful
规则,rule
走廊；走道,hallway
教室,classroom
打架；争吵,fight
女士,Ms
外面的；在外部的,outside
进餐；吃法,dining
大厅；礼堂,hall
不得不；必须,have to
其他的；别的；另外的,else
运动鞋,sports shoes
体育馆,gym
医生,Dr.
到…之前；不迟于,by
洗；洗涤,wash
后来；以后,later
少年宫,children's palace
不许讲话,no talking
大声地,loudly
配件；饰品,accessory
雪,snow
预定；点,order
意见；看法,opinion
,
  补充内容,
订货,order
表格,form
多久一次,how often
锻炼,exercise
踩滑板,skateboard
几乎不,hardly
曾，曾经,ever
一次,once
两次,twice
次；次数,time
在……冲浪,surf
网络,Internet
节目，表演,program
高中,high school
结果,result
活跃的,active
对于，关于,for
至于，关于,as for
几乎，大约,about
废弃的旧物，破烂物,junk
垃圾食品,junk food
牛奶,milk
咖啡,coffee
薄片,chip
可乐,cola
巧克力,chocolate
喝，饮,drink
健康,health
多少,how many
采访者,interviewer
习惯,habit
试图,try
当然，自然,of course
照顾,look after
生活方式,lifestyle
分数，成绩,grade
更好的,better
同样的,same
像……一样,as
不同的，有区别的,different
不同；差异；区别,difference
不健康的；,unhealthy
呸,yuck
或许；大楷,maybe
虽然，即使，纵然,although
达，计,for
爷爷，外公,grandpa
大量，许多,a lot of
保持,keep
必须,must
事情，问题，差错,matter
得；患,have
感冒，受凉,cold
受凉；感冒,have a cold
胃疼，腹痛，肚子疼,stomachache
疼痛的，酸疼的,sore
背，背部,back
胳膊，臂,arm
耳朵,ear
眼睛,eye
脚，足,foot
手,hand
头，头部,head
腿，腿部,leg
嘴，口腔,mouth
脖子，颈部,neck
鼻子,nose
胃，肚子，腹部,stomach
牙齿,tooth
喉咙,throat
牙疼,toothache
发烧，发热,fever
休息,rest
蜂蜜,honey
牙医,dentist
应该,should
头疼,headache
shouldn't,should not
以前,ago
如此，这样,so
疾病，身体不适,illness
劝告,advice
渴的，口渴的,thirsty
加压力于,stress
有压力的,（be）stressed out
提前,early
问题,problem
方式，手段，方式,way
传统的,traditional
相信，认为,believe
平衡,balance
虚弱的，无力的,weak
草本植物,herb
生气的，愤怒的,angry
豆腐,tofu
药，药物,medicine
西方的,western
每人，人人，个人,everybody
变得,get
很少的,few
有些，几个，少数,a few
继续是，保持，维持,stay
重要的，重大的,important
平衡的,balanced
饮食，节食,diet
瞬间，片刻,moment
此时，现在,at the moment
直到,until
呵，哎呀,dear
寄宿家庭,host family
听说，听见,hear
临时照顾,babysit
宿营,camp
计划，规划,plan
西藏,Tibet
远足，徒步旅行,hike
香港,Hongkong
是，是的，好的,yeah
多久，多长时间,how long
向远处,away
回来,get back
发送,send
明信片,postcard
自行车,bike
乘骑,ride
观光,sightseeing
钓鱼,fishing
租用，出租,rent
著名的,famous
去度假,take a vocation
希腊,Greece
西班牙,Spain
欧洲,Europe
某物，某事,something
湖，湖泊,lake
五大湖,The Great Lakes
离开，出发,leave
农村，乡村,country
大自然,nature
忘记,forget
很，非常,a lot
结束,finish
泰国,Thailand
旅行者,tourist
意大利,Italy
地铁,subway
嘿，喂,Hey
火车,train
四十,forty
五十,fifty
六十,xixty
七十,seventy
八十,eighty
九十,ninety
一百,hundred
分钟,minute
花费,take
表示交通，传递等的方式,by
坐公交车,by bus
远的，遥远的,far
多远,how far
公里,kilometer
淋浴,shower
快的,qucik
自行车,bicycle
早的,eraly
英里,mile
车站,stop
公共交通，运输,transportation
北部的，北方的,north
北美洲,North America
地区，区域,part
依赖,depend
视……而定，决定于,depend on
河；江,river
小船,boat
乘小船,by boat
必须,must
更多的,more
比,than
方法，手段,means
小汽车,car
镇，城镇,town
生病的,ill
担心，忧郁,worry
这么，那么,so
十分,much
课，课程,lesson
又一的，再一的,another
音乐会,concert
谁，什么人,whom
日历,calender
明天,tomorrow
后天,the day after tomorrow
周一至周五的任一天,weekaday
邀请,invitation
训练,training
美国的，美洲的,American
项目，作业，课题,project
比赛，竞赛,match
整个的，全部的，完整的,whole
从一边至另一边,over
顺便来访,come over
空闲的，有空的,free
直到……之时,till
友好的，外向的,outgoing
孪生的,twin
镇静的，沉着的,calm
鲁莽的；轻率的,wild
严肃的，庄重的,serious
擅长运动的,athletic
注释，说明,note
表示……的意思,mean
以…方式,as
某个方面,way
两者（都）,both
她的,hers
物理，物理学,physics
然而,however
超出,more than
共有的,in common
擅长,be good at
学业，功课,schoolwork
笑,laugh
为;给;对,for
对立的；相反的,opposite
观点，看法,view
兴趣，爱好,interest
虽然，及时，纵然,though
必须的,necessary
打败,beat
对…在意,care
友情,friendship
初级的，小学的,primary
小学,primary school
消息，信息,information
轮子,wheel
女人,woman
利用，使用,use
干酪,cheese
生病的,sick
身体，躯体,body
开始,begin
以……开始,begin with
游泳池,swimming pool
激动的，兴奋的,excited
安全的,safe
快的,fast
乘客,passanger
奶昔,shake
奶昔,milk shake
果汁机,blender
打开,turn on
切，割,cut
分开，成几部分,up
切碎,cut up
剥；削,peel
倾倒，灌，浇,pour
到……里,into
酸奶,yogurt
材料，原料，成分,ingredient
小茶杯,cup
西瓜,watermelon
茶匙,teaspoon
总额；总数；数量,amount
命令；指示,instruction
最后地，最终地,finally
混合，混在一起,mix
混合在一起,mix up
爆米花,popcorn
爆米花机,popper
煮沸,boil
盐，食盐,salt
加,add
把…加到…上,add to
三明治,sandwich
面包,bread
黄油,butter
调味品,relish
生菜,lettuce
火鸡,turkey
薄片,slice
超级的,super
顶，上部,top
烹调法，食谱,recipe
核对，检查,check
葱,green onion
鸭子,duck
调味汁,sauce
薄煎饼,pancake
卷，裹,roll
礼物，赠品,gift
鲨鱼,shark
水族馆,aquarium
海豹,seal
逗留，徘徊,hang
闲逛，闲荡,hang out
纪念物,souvenir
赢，获胜,win
亲笔签名,autograph
奖赏,prize
访问者,visitor
户外的,outdoor
章鱼,octopus
结尾，结束,end
班长,monitor
芝加哥,Chicago
加利福利亚,California
睡过头,sleep late
驾驶,drive
休息，不工作,off
休息，不工作，不上学,day off
雨，下雨,rain
数字化视频光盘,DVD
院子,yard
庭院旧货出售,yard sale
幸运地,luckily
雨伞，伞,umbrella
雨衣,raincoat
湿的，潮湿的,wet
竞争，比赛，竞赛,competition
运动员,palyer
将来，未来,future
再一次，又一次,again
出生，出世,born
记录，最高纪录,record
打嗝,hiccup
打喷嚏,sneeze
高尔夫球,golf
巴西的，巴西人的,Brazilian
国家的，全国的，民族的,national
成就成绩,achievement
表演演出,perform
体操运动员,gymnast
金子，黄金，金的,gold
奖牌奖章,medal
冠军称号，竞标赛,championship
高尔夫球运动员,golfer
成为，变为,become
把..称为叫为,call
有天赋的，天才的,talented
慈爱的,loving
有创造力的，创造性的,creative
杰出的出色的,outstanding
和蔼的仁慈的友好的亲切的,kind
不寻常的,unusual
孙子外孙,grandson
小提琴手,violinist
滑冰溜冰,skate
冠军,champion
在…旅行，观光参观,tour
美国,the U.S
有名的众所周知的,well-known
钢琴手，钢琴家,pianist
可以 能 可能,could
作嗡嗡声，哼唱,hum
篇，首，副,piece
手风琴,accordion
参加参与,take part（in）
波兰,Poland
活着的，在世的,alive
运动选手,athlete
因为由于,because of
亚洲,Asia
乒乓球运动,table tennis
大学,university
主修专研,major in
主修专研,major
经营管理,management
号码，编号,number
单打比赛,single
国际乒乓球联合会,ITTF
生长,grow
成长，长大,grow up
程序师，电脑程序设计者,programmer
计算机科学,computer science
工程师,engineer
飞行员,pilot
专业的,professional
表演，演戏,act
移动，搬动,move
梦，梦想，幻想,dream
在某处,somewhere
展览,exhibition
艺术家,artist
兼职的,part-time
储存,save
同时,at the same time
举行，主持,hold
富有的,rich
旅行,travel
到处,all over
退休,retire
到此时，至今,yet
决心，决心要做的事,resolution
器具，工具，乐器,instrument
超过，….以上,over
传真,fax
读者,reader
强健的,fit
交流，共同,communicate
女士,lady
外国的，在外国的,foreign
建造,build
交换，互换，交流,exchange
交换生,exchange student
杂物，杂事,chore
盘，碟，菜肴,dish
洗餐具,do the dishes
扫除，清扫，清除,sweep
垃圾，废物,trash
取出,take out
整理床铺,make one's bed
折叠，折起来,fold
起居室,living room
会议,meeting
从事,work on
憎恨，讨厌,hate
处理琐事，干家务,do chores
洗衣店,laundry
洗衣服,do the laundry
小吃，快餐,snack
青少年,teenager
借，借人，借用,borrow
邀请，恳请,invite
唱机,player
照顾，照管，关心,care
照看,take care of
喂养,feed
我的,mine
无线电,radio
无线电台,radio station
舒适的；安逸的,comfortable
座位,seat
屏；幕；荧光屏,screen
近的,close
服务；招待,service
品质；质量,quality
剧院；戏院,theater
电影院,cinema
衣服（总称）,clothing
牛仔裤,jeans
时髦的；赶时髦的；流行的,trendy
青少年,teen（teenager）
时髦的；极好的,funky
安逸的；自在的,easy
调频,FM
调幅,AM
爵士乐,jazz
更坏的；更差的,worse
最坏的；最差的,worst
特价商品；便宜货,bargain
餐；饭；一餐,meal
积极的；肯定的,positive
消极的；否定的,negative
乏味的；否定的,dull
响亮的；喧闹的,loud
天蚕；天资；才干,talent
天才表演,talent show
演员；演出者；演奏者,performer
成功,success
一段表演,act
无；没有,without
一起；共同,together
音乐的,musical
距离；路程,distance
近的；靠近的；接近的,near
最远的（far的最高级）,farthest
省份,province
南方的；在南方的,southern
还；仍然,still
十五度,fifteen degree celsius
可爱的；魅力的；令人愉快的,lovely
北方的；在北方的,northern
零下10度,minus ten degree celsius
充足的；足够的,enough
海；海洋,sea
音乐节目主持人,DJ
洛杉矶,Los Angeles
中心的,central
路边小餐馆；（餐车式）小饭店,diner
咖喱；咖喱菜肴,curry
熟食店,deli
领导者,leader
管乐队；伴舞乐队,band
容易的；不费力的,easy
片；块；段,piece
黑面包,brown bread
禁止；不许,forbid
故宫,Forbidden City
骆驼,camel
老鼠,rat
一点儿（也不）；根本（不）,（not） at all
奶牛；母牛,cow
（表示惊讶；欢乐；愠怒等）哈,ha
说正经的；严肃的,seriously
母鸡,hen
产（卵）；下（蛋）,lay
将；会；要,will
机器人,robot
won't,will not
they'll,they will
每件事物,everything
纸；纸张,paper
较少的；更少的,fewer
污染,pollution
树；树木,tree
she'll,she will
建筑物 楼房,building
宇航员；航天员,astronaut
火箭,rocket
太空,space
太空站,space station
飞行,fly
动词take的过去式,took
月亮；月球,moon
I'll,I will
落下；跌落,fall
动词fall的过去式,fell
爱上（某人或某物）,fall in love with
单独地；孤独地,alone
宠物,pet
鹦鹉,parrot
大楷；或许,probably
去滑冰,go skating
一套衣服,suit
能；能够,able
有能力做某事；会做某事,be able to
穿衣服,dress
非正式；随意地,casually
哪个；哪几个,which
甚至,even
世界杯,the World Cup
write的过去式,wrote
我自己,myself
面谈，面试,interview
预言；预测（V.),predict
预言；预测(N.),prediction
come的过去式,came
达到；实现,come true
声音,sound
公司,company
think的过去式,thought
策略；战略,strategy
小说,fiction
使人不愉快的,unpleasant
科学家,scientist
未来；将来,in the future
大量；许多,hundreds of
早已；已经,already
动词make的过去式,made
工厂,factory
简单的；容易的,simple
这样的,such
厌倦的；厌烦的,bored
各地,everywhere
人；人类,human
巨大的,huge
形状；外形,shape
地震,earthquake
蛇,snake
可能的,possible
电的；导电的,electric
牙刷,toothbrush
像是；似乎,seem
不可能的,impossible
家务；家务事,housework
等级；级别,rating
不让……进入,keep out
播放,play
争论；争吵,argue
错误的；有毛病的,wrong
怎么了？,What's wrong？
风格；款式；式样,style
不时髦的；过时的,out of style
可以；应该；可能,could
打电话给,call sb. up
票；入场卷,ticket
使惊奇；使意外,surprise
用电话交谈；在通话,on the phone
怎么了？,what's the matter？
付账；支付,pay for
兼职工作,part-time job
好的,okay
同样地；也（不）,either
烤；烘,bake
面包或糕饼的售卖活动,bake sale
青少年论坛,teen talk
家庭教师,tutor
新颖的,original
与……同样的,the same as
时髦的；流行的,in style
理发；发型,haircut
除；把……除外,except
心烦的；沮丧的,upset
失败,fail
相处；进展,get on
didn't,did not
couldn't,could not
归还；送回,return
足球,football
倒…为止,until
适合；适应,fit
找到时间（做某事）,fit …into
尽可能……,as……as possible
压力,pressure
抱怨；埋怨；发牢骚,complain
